Location Name,Location Num,Operator,Type,State,Open Date
Archer Road FSU,03698,Ray Holloway,FSU,FL,18-Nov
Arden Fair FSU,01724,Joshua Paul,FSU,CA,6-Sep
Arden Hills (MN) FSU,04807,Alex Wilson,FSU,MN,22-Feb
Ardmore FSU,03256,Drew Anderson,FSU,OK,14-Nov
Argyle FSU,05238,Kenny Arthur,FSU,TX,24-Aug
Arizona & Ocotillo FSU,02481,Laura Hasler,FSU,AZ,16-Sep
Arnold FSU,02629,Shane Neel,FSU,MO,10-Sep
Arrowhead FSU,01664,Leo Lichter,FSU,AZ,4-Dec
Arundel Mills FSU,01293,Joe Dinoto,FSU,MD,2-Apr
Ascension Street FSU,05815,Cody Salomone,FSU,LA,25-Apr
Asheboro FSU,01120,Sam Ramsey,FSU,NC,May-00
Asheboro Mall,00386,Sam Ramsey,MALL,NC,Sep-88
Ashland FSU,01739,Steve Barfield,FSU,KY,6-Sep
Ashley Crossing FSU,00582,Megan Jacques,FSU,SC,Dec-95
Aspen Grove FSU,03671,Lauren Plain,FSU,CO,17-May
Athens (AL) FSU,01826,Matthew Kyle,FSU,AL,7-Jul
Athens/Atlanta Highway FSU,01378,Alex Clark,FSU,GA,1-Nov
Atlantic & Hodges FSU,01139,Melinda Sowers,FSU,FL,Mar-00
Atlantic & Kernan DTO,05322,Melinda Sowers,DTO,FL,24-Nov
Atlantic Ave FSU,03707,Erik Benitez,FSU,FL,20-Jan
Atlee Station FSU,04316,Mark Baldwin,FSU,VA,20-May
Attleboro FSU,04100,Chris Apple,FSU,MA,18-Mar
Auburn DTO,05455,Will Bowling,DTO,AL,24-Aug
Auburn Gold Rush FSU,03653,Jamie Retherford,FSU,CA,16-Sep
Auburn Hills (MI) FSU,05513,Greg Russell,FSU,MI,25-Apr
Auburn In-Line DT,04549,Bob McFadden,FSU,AL,21-Jul
Auburn Mall,00342,Brandon Powell,MALL,AL,Nov-83
Audubon Crossings FSU,02437,Bill Diaco,FSU,NJ,9-Jan
Augusta Exchange FSU,05632,Kenny Hanna,FSU,GA,25-Mar
Augusta Mall,00009,Adam Edwards,MALL,GA,Jul-78
Augusta Woods & Kuykendahl FSU,04024,Adam Powell,FSU,TX,19-Feb
Aurora Ave N & 130th FSU,03830,Danielle Cannella,FSU,WA,19-Jun
Aurora Ave. & N.198th St. DTO,04946,Kyle Brown,DTO,WA,25-Nov
Austell Road FSU,00814,Jonathan Hollis,FSU,GA,Sep-89
Austin Highway FSU,02632,Anthony Walker,FSU,TX,10-Oct
Austin Peay Highway FSU,04993,Allen Arant,FSU,TN,23-Aug
Austintown (OH) FSU,04689,Jared Szari,FSU,OH,22-Mar
Auto Mall Parkway FSU,03435,Dan Kosin,FSU,CA,15-Sep
Avalon FSU,03700,John Crays,FSU,GA,17-Apr
Aventura In-Line,04574,James Probe,MALL,FL,20-Aug
Avenue K & 15th St. SW DTO,04671,C. Alexys Brandon,DTO,CA,23-Jun
Avenues Mall,00415,Joel Parker,MALL,FL,Sep-90
Avondale FSU,02173,Gabe Shaw,FSU,AZ,7-Aug
Avondale Haslet FSU,05697,Johannes Hillerbrand,FSU,TX,25-Oct
Azusa FSU,02936,Carlos Mayen Solorzano,FSU,CA,13-Feb
Bainbridge FSU,04421,Sean Austin,FSU,GA,19-Oct
Bakersfield FSU,02454,Troy Hess,FSU,CA,9-Mar
Balcones Heights FSU,04037,Matt Arnett,FSU,TX,18-Jun
Bald Hill Road FSU,03220,Sarah Lopez,FSU,RI,14-Sep
Balk Hill FSU,04245,Vance Pittman,FSU,MD,23-May
Ballenger Creek FSU,05343,Aaron Crunkilton,FSU,MD,25-Sep
Ballentine FSU,02678,Steve Arnold,FSU,SC,10-Sep
Ballston Quarter,04085,Erica Brock-Lelyo,MALL,VA,18-Dec
Bandera Road FSU,01043,Richard Gonzalez,FSU,TX,Apr-00
Bangor FSU,03635,Todd Schultz,FSU,ME,16-Nov
Bankhead Hwy FSU,03935,David Daniels,FSU,GA,17-Sep
Barbers Hill FSU,05141,Edmond Long,FSU,TX,24-Aug
Barboursville FSU,01678,Larry Pittman,FSU,WV,5-Dec
Bardstown FSU,05873,Brantley Beck,FSU,KY,25-Nov
Bardstown Road FSU,03823,Tony Carrico,FSU,KY,17-Jun
Barnes Crossing Mall,00418,Taylor Locke,MALL,MS,Mar-90
Barnett Shoals FSU,02026,Shane Todd,FSU,GA,8-Jul
Barracks Road FSU,04332,Bryan Ritter,FSU,VA,21-Sep
Barrett Parkway FSU,00863,Ralph Stephens,FSU,GA,Dec-93
Barrett Pkwy & Powder Springs Road FSU,05563,Sandeep Kapoor,FSU,GA,25-Oct
Barrington FSU,04136,Bill Diaco,FSU,NJ,21-Jun
Bartlesville FSU,03813,Chase Allcott,FSU,OK,18-Jan
Barton Creek Square Mall,00017,Ryan Taylor,MALL,TX,Aug-81
Bartonsville FSU,03694,Amanda Morris,FSU,PA,19-Apr
Bartow FSU,04902,Justin Kranitz,FSU,FL,23-Feb
Bass Road FSU,02748,David Clark,FSU,GA,11-Oct
Bastrop FSU,03100,Ryan Saum,FSU,TX,14-Jul
Batavia FSU,02785,John Good,FSU,IL,13-Feb
Battle Creek (MI) FSU,04849,Tyler DeKoekkoek,FSU,MI,22-Feb
Battlefield Blvd. FSU,00884,Shelby Streeter,FSU,VA,Sep-95
Battlefield Mall,00018,Chris Lynch,MALL,MO,Aug-82
Battleground Plaza FSU,04575,Keith Kiser,FSU,NC,22-Jan
Baxter Village FSU,02117,Michael Crosby,FSU,SC,8-Feb
Bay City [TX] FSU,05423,Nick Burnside,FSU,TX,23-Nov
Baybrook Mall,00006,Charles Gibson,MALL,TX,Aug-82
Baylor University on 7th Street FSU,03295,David Sykora,FSU,TX,14-Oct
